file_name,participant_id,t_ecc,t_con,t_total,F_turning,F_con,has_dip,F_turning_rel,F_con_rel
00_bounce70b1,00,1.016,0.804,1.82,2694.9266501336688,2171.9159515163174,False,3.5219512404057456,2.838437951222349
00_bounce70b2,00,1.053,0.814,1.867,2628.0482895386085,2253.0948781672814,False,3.4345491120241096,2.944529232556106
00_bounce70b3,00,1.03,0.774,1.804,2630.7410432702045,2252.5263671295606,False,3.4380682235163023,2.9437862556908967
00_bounce70nb2,00,1.821,0.808,2.629,2502.234719293885,2253.0517669732235,False,3.270125616578956,2.9444728913108333
00_bounce70nb3,00,1.917,0.866,2.783,2355.888222872877,2245.236193415112,False,3.078868008668388,2.934258858588974
00_bounce70nb4,00,1.844,0.917,2.761,2330.573767979647,2288.06182356759,False,3.0457850021951005,2.990226905522348
00_bounce80b1,00,1.062,1.043,2.105,2742.658950425985,2410.7573798814315,False,3.584331726425136,3.150575524558184
00_bounce80b2,00,1.106,1.172,2.278,2768.849392086639,2499.921539157267,False,3.6185595442727694,3.2671025630012114
00_bounce80b3,00,1.026,1.177,2.203,2655.845507670084,2396.178755450197,False,3.4708767971850856,3.131522982109042
00_bounce80nb1,00,1.833,1.314,3.147,2400.4587291491875,2371.6537679697217,False,3.137116402871465,3.099471716419302
00_bounce80nb2,00,1.995,1.203,3.198,2448.38579962052,2370.060102902368,False,3.199751430539899,3.0973889841636835
00_bounce80nb3,00,1.752,1.296,3.048,2364.8885627825416,2382.6808821786667,False,3.0906303912576667,3.1138828539411203
02_bounce70b1,02,1.22,0.902,2.122,1906.178313793823,1695.165319055479,False,2.917563303048956,2.5945904911876383
02_bounce70b2,02,1.257,0.892,2.149,1820.1095047402137,1785.831287568059,False,2.7858278840617583,2.7333622423158004
02_bounce70b3,02,1.088,0.975,2.063,1971.597414775728,1731.5887213179738,False,3.017692638779036,2.65033951584302
02_bounce70nb1,02,1.564,1.043,2.607,1575.9806269735286,1849.172857920159,False,2.412168478835913,2.830311745874558
02_bounce70nb2,02,1.628,0.923,2.551,1578.8877327471996,1874.5825877743896,False,2.416618044263223,2.869203435506439
